Cores,icc
1,1143788.44998748
2,2237705.5734875593
4,4208368.9040028
6,5855869.1067636
8,7570918.289486719
10,9168305.66629952
12,11173710.954006363
14,13000770.584925398
16,14191743.851456441
18,14581981.483529082
20,15579962.896439442
22,17247234.066669922
24,15525956.066011641
26,16602957.2909566
28,16611704.244026119
