Cores,icc 
1,1127243.02322688
2,2173261.4674935997 
4,3728072.86636064 
6,5307019.45853596  
8,6929427.33881428 
10,8521596.79706984 
12,10750831.21157104 
14,12395029.65622232 
16,10095166.658184761 
18,9049708.54180576 
20,8542832.98562444 
22,7676042.4730708 
24,7997747.667951001 
26,8488060.99833744 
28,8217541.09016556 
