Cores,icc,gcc
1,1134632.68382716,0
2,2213426.79930864,0
4,3752170.81717508,0
6,5039805.199573759,0
8,7225484.68536724,0
10,8546719.05223628,0
12,10278385.58128676,0
14,12710588.07398144,0
16,9557885.8199868,0
18,8951670.22735308,0
20,8752662.5864352,0
22,8366278.8164251195,0
24,8398017.78438184,0
26,7411777.964272279,0
28,8155176.05987916,0
