Cores,icc,gcc
1,1143788.44998748,529528.17292356
2,2237705.5734875593,1031838.96367376
4,4208368.9040028,1988710.9106279602
6,5855869.1067636,2831593.52672556
8,7570918.289486719,3672113.12444008
10,9168305.66629952,4579900.20628884
12,11173710.954006363,5476354.121496759
14,13000770.584925398,6392653.8437250005
16,14191743.851456441,7070564.173737041
18,14581981.483529082,8093593.33101576
20,15579962.896439442,8911057.062840361
22,17247234.066669922,9815673.651894882
24,15525956.066011641,10763000.59913724
26,16602957.2909566,11444259.69502636
28,16611704.244026119,12075859.587992921
