Cores,icc,gcc
1,1154905.954240,525650.523880
2,2238738.916920,1022376.462880
4,4314032.358920,1983355.122880
6,6068831.417120,2842919.613640
8,7791323.574920,3692620.392840
10,9328360.859640,4602403.529480
12,11069223.412240,5512123.387920
14,12882662.035280,6414645.206000
16,14654349.839800,7329213.652440
18,16553821.904040,8227256.938240
20,18305022.074080,9105840.530320
22,20154841.948080,8775574.140680
24,21972082.438120,8694604.630000
26,23812920.952120,8703517.003480
28,25030633.353160,9549256.632200
